"organization_type_code_desc","organization_org_state","measure","amount"
"FP: For-Profit","CO","Funding",2.276809
"FP: For-Profit","CT","Awards",1
"FP: For-Profit","CT","Funding",0.399999
"FP: For-Profit","DC","Awards",4
"FP: For-Profit","DC","Funding",0.824078
"FP: For-Profit","FL","Awards",1
"FP: For-Profit","FL","Funding",0.812852
"FP: For-Profit","IL","Awards",1
"FP: For-Profit","IL","Funding",0.490469
"FP: For-Profit","KY","Awards",1
"FP: For-Profit","KY","Funding",0.295883
"FP: For-Profit","MA","Awards",15
"FP: For-Profit","MA","Funding",10.021158
"FP: For-Profit","MD","Awards",22
"FP: For-Profit","MD","Funding",32.791325
"FP: For-Profit","MI","Awards",3
"FP: For-Profit","MI","Funding",1.235943
"FP: For-Profit","MN","Awards",8
"FP: For-Profit","MN","Funding",6.053318
"FP: For-Profit","NC","Awards",10
"FP: For-Profit","NC","Funding",6.39892
"FP: For-Profit","NH","Awards",1
"FP: For-Profit","NH","Funding",0.995757
"FP: For-Profit","NJ","Awards",4
"FP: For-Profit","NJ","Funding",2.569579
"FP: For-Profit","NY","Awards",3
"FP: For-Profit","NY","Funding",1.5464
"FP: For-Profit","OH","Awards",2
"FP: For-Profit","OH","Funding",1.802461
"FP: For-Profit","OR","Awards",4
"FP: For-Profit","OR","Funding",1.889376
"FP: For-Profit","PA","Awards",5
"FP: For-Profit","PA","Funding",3.077342
"FP: For-Profit","RI","Awards",5
"FP: For-Profit","RI","Funding",0.05263
"FP: For-Profit","SC","Awards",3
"FP: For-Profit","SC","Funding",1.820325
"FP: For-Profit","TN","Awards",1
"FP: For-Profit","TN","Funding",0.919517
"FP: For-Profit","TX","Awards",3
"FP: For-Profit","TX","Funding",2.171225
"FP: For-Profit","UT","Awards",2
"FP: For-Profit","UT","Funding",0.85466
"FP: For-Profit","VA","Awards",13
"FP: For-Profit","VA","Funding",9.091323
"FP: For-Profit","WA","Awards",1
"FP: For-Profit","WA","Funding",0.306869
"NP: Non-Profit","CA","Awards",4
"NP: Non-Profit","CA","Funding",2.680527
"NP: Non-Profit","FL","Awards",3
"NP: Non-Profit","FL","Funding",0.980853
"NP: Non-Profit","GA","Awards",2
"NP: Non-Profit","GA","Funding",0.548471
"NP: Non-Profit","IL","Awards",4
"NP: Non-Profit","IL","Funding",3.891678
"NP: Non-Profit","MA","Awards",9
"NP: Non-Profit","MA","Funding",5.062068
"NP: Non-Profit","MD","Awards",6
"NP: Non-Profit","MD","Funding",1.840516
"NP: Non-Profit","MN","Awards",5
"NP: Non-Profit","MN","Funding",3.008723
"NP: Non-Profit","NE","Awards",3
"NP: Non-Profit","NE","Funding",1.484231
"NP: Non-Profit","NY","Awards",3
"NP: Non-Profit","NY","Funding",5.098239
"NP: Non-Profit","PA","Awards",17
"NP: Non-Profit","PA","Funding",9.124794
"NP: Non-Profit","TX","Awards",1
"NP: Non-Profit","TX","Funding",0.161735
"NP: Non-Profit","VA","Awards",1
"NP: Non-Profit","VA","Funding",0.01
"NP: Non-Profit","WA","Awards",6
"NP: Non-Profit","WA","Funding",3.570145
"OT: Unknown","MB","Awards",1
"OT: Unknown","MB","Funding",0.545085
"OT: Unknown","MD","Awards",3
"OT: Unknown","MD","Funding",7.35592
"OT: Unknown","ON","Awards",3
"OT: Unknown","ON","Funding",0.848032
"OT: Unknown","VA","Awards",2
"OT: Unknown","VA","Funding",0.00995
"OT: Unknown","ZZ","Awards",22
"OT: Unknown","ZZ","Funding",6.989573
