"award_type_desc","organization_org_state","measure","amount"
"3: Revision","UT","Funding",0.200362
"3: Revision","VA","Awards",2
"3: Revision","VA","Funding",0.648566
"3: Revision","WA","Awards",11
"3: Revision","WA","Funding",2.954244
"3: Revision","WI","Awards",5
"3: Revision","WI","Funding",1.097697
"3: Revision","ZZ","Awards",7
"3: Revision","ZZ","Funding",1.28246
"4: Extension","AZ","Awards",1
"4: Extension","AZ","Funding",0.249
"4: Extension","CA","Awards",5
"4: Extension","CA","Funding",3.749217
"4: Extension","CO","Awards",3
"4: Extension","CO","Funding",1.879329
"4: Extension","CT","Awards",4
"4: Extension","CT","Funding",3.045763
"4: Extension","FL","Awards",2
"4: Extension","FL","Funding",0.497976
"4: Extension","GA","Awards",1
"4: Extension","GA","Funding",0.9444
"4: Extension","IL","Awards",1
"4: Extension","IL","Funding",0.249
"4: Extension","KY","Awards",1
"4: Extension","KY","Funding",0.249
"4: Extension","MA","Awards",9
"4: Extension","MA","Funding",7.126008
"4: Extension","MD","Awards",1
"4: Extension","MD","Funding",0.17769
"4: Extension","MI","Awards",4
"4: Extension","MI","Funding",5.098499
"4: Extension","MN","Awards",1
"4: Extension","MN","Funding",0.895447
"4: Extension","MO","Awards",2
"4: Extension","MO","Funding",0.944767
"4: Extension","NC","Awards",2
"4: Extension","NC","Funding",1.217211
"4: Extension","NJ","Awards",4
"4: Extension","NJ","Funding",4.06371
"4: Extension","NY","Awards",5
"4: Extension","NY","Funding",2.616997
"4: Extension","OR","Awards",2
"4: Extension","OR","Funding",1.762596
"4: Extension","PA","Awards",3
"4: Extension","PA","Funding",2.152996
"4: Extension","RI","Awards",2
"4: Extension","RI","Funding",0.470546
"4: Extension","SC","Awards",1
"4: Extension","SC","Funding",0.747003
"4: Extension","TN","Awards",1
"4: Extension","TN","Funding",1.058625
"4: Extension","TX","Awards",1
"4: Extension","TX","Funding",0.745299
"4: Extension","UT","Awards",1
"4: Extension","UT","Funding",0.249
"4: Extension","VA","Awards",1
"4: Extension","VA","Funding",1.077116
"4: Extension","WA","Awards",3
"4: Extension","WA","Funding",5.75076
"5: Continuation","AL","Awards",24
"5: Continuation","AL","Funding",11.233376
"5: Continuation","AR","Awards",5
"5: Continuation","AR","Funding",2.000978
"5: Continuation","AZ","Awards",20
"5: Continuation","AZ","Funding",11.353702
"5: Continuation","CA","Awards",259
"5: Continuation","CA","Funding",125.27874
"5: Continuation","CO","Awards",49
"5: Continuation","CO","Funding",23.877803
"5: Continuation","CT","Awards",47
"5: Continuation","CT","Funding",20.195071
"5: Continuation","DC","Awards",28
"5: Continuation","DC","Funding",22.645444
"5: Continuation","DE","Awards",8
"5: Continuation","DE","Funding",2.804828
"5: Continuation","FL","Awards",21
"5: Continuation","FL","Funding",24.643515
"5: Continuation","GA","Awards",46
"5: Continuation","GA","Funding",19.562145
"5: Continuation","HI","Awards",2
"5: Continuation","HI","Funding",1.095833
"5: Continuation","IA","Awards",13
"5: Continuation","IA","Funding",5.431475
"5: Continuation","ID","Awards",1
"5: Continuation","ID","Funding",0.573021
"5: Continuation","IL","Awards",67
"5: Continuation","IL","Funding",32.25001
"5: Continuation","IN","Awards",30
"5: Continuation","IN","Funding",13.65569
"5: Continuation","KS","Awards",23
"5: Continuation","KS","Funding",8.859359
"5: Continuation","KY","Awards",8
"5: Continuation","KY","Funding",3.424534
"5: Continuation","LA","Awards",10
"5: Continuation","LA","Funding",8.807942
"5: Continuation","MA","Awards",170
"5: Continuation","MA","Funding",109.058269
"5: Continuation","MB","Awards",1
"5: Continuation","MB","Funding",0.545085
"5: Continuation","MD","Awards",74
"5: Continuation","MD","Funding",40.20941
"5: Continuation","ME","Awards",7
"5: Continuation","ME","Funding",3.02853
"5: Continuation","MI","Awards",87
"5: Continuation","MI","Funding",40.511346
"5: Continuation","MN","Awards",45
"5: Continuation","MN","Funding",22.882042
"5: Continuation","MO","Awards",54
"5: Continuation","MO","Funding",24.43759
"5: Continuation","MS","Awards",4
"5: Continuation","MS","Funding",3.081073
"5: Continuation","NC","Awards",114
"5: Continuation","NC","Funding",63.832646
"5: Continuation","NE","Awards",5
"5: Continuation","NE","Funding",3.013832
"5: Continuation","NH","Awards",3
"5: Continuation","NH","Funding",2.06566
"5: Continuation","NJ","Awards",38
"5: Continuation","NJ","Funding",14.143587
"5: Continuation","NM","Awards",2
"5: Continuation","NM","Funding",0.543491
"5: Continuation","NV","Awards",4
"5: Continuation","NV","Funding",1.41317
"5: Continuation","NY","Awards",160
"5: Continuation","NY","Funding",86.56801
"5: Continuation","OH","Awards",82
"5: Continuation","OH","Funding",40.763068
"5: Continuation","OK","Awards",5
"5: Continuation","OK","Funding",3.317859
"5: Continuation","ON","Awards",2
"5: Continuation","ON","Funding",0.704181
"5: Continuation","OR","Awards",40
"5: Continuation","OR","Funding",22.062904
"5: Continuation","PA","Awards",154
"5: Continuation","PA","Funding",81.248528
"5: Continuation","RI","Awards",21
"5: Continuation","RI","Funding",9.384901
"5: Continuation","SC","Awards",21
"5: Continuation","SC","Funding",8.466953
"5: Continuation","SD","Awards",1
"5: Continuation","SD","Funding",1.469241
"5: Continuation","TN","Awards",23
"5: Continuation","TN","Funding",11.126676
"5: Continuation","TX","Awards",125
"5: Continuation","TX","Funding",55.696718
"5: Continuation","UT","Awards",33
"5: Continuation","UT","Funding",16.242138
"5: Continuation","VA","Awards",26
"5: Continuation","VA","Funding",12.658139
"5: Continuation","VT","Awards",6
"5: Continuation","VT","Funding",2.068915
"5: Continuation","WA","Awards",71
"5: Continuation","WA","Funding",33.070175
"5: Continuation","WI","Awards",50
"5: Continuation","WI","Funding",23.770833
"5: Continuation","WV","Awards",2
"5: Continuation","WV","Funding",0.528516
"5: Continuation","WY","Awards",1
"5: Continuation","WY","Funding",0.325125
"5: Continuation","ZZ","Awards",12
"5: Continuation","ZZ","Funding",5.102148
"Not applicable","CA","Awards",21
"Not applicable","CA","Funding",10.917839
"Not applicable","CO","Awards",3
"Not applicable","CO","Funding",0.703329
"Not applicable","GA","Awards",1
"Not applicable","GA","Funding",0.004025
"Not applicable","HI","Awards",1
"Not applicable","HI","Funding",0.004512
"Not applicable","LA","Awards",1
"Not applicable","LA","Funding",0.246869
"Not applicable","MA","Awards",2
