"all_themes","organization_org_state","measure","amount","short_label"
"theme1","KY","Funding",2.345505,"Developmental Biology"
"theme1","LA","Awards",5,"Developmental Biology"
"theme1","LA","Funding",1.439009,"Developmental Biology"
"theme1","MA","Awards",70,"Developmental Biology"
"theme1","MA","Funding",44.430338,"Developmental Biology"
"theme1","MD","Awards",27,"Developmental Biology"
"theme1","MD","Funding",10.212718,"Developmental Biology"
"theme1","ME","Awards",10,"Developmental Biology"
"theme1","ME","Funding",5.962726,"Developmental Biology"
"theme1","MI","Awards",29,"Developmental Biology"
"theme1","MI","Funding",13.043626,"Developmental Biology"
"theme1","MN","Awards",8,"Developmental Biology"
"theme1","MN","Funding",2.968139,"Developmental Biology"
"theme1","MO","Awards",22,"Developmental Biology"
"theme1","MO","Funding",8.960414,"Developmental Biology"
"theme1","MS","Awards",2,"Developmental Biology"
"theme1","MS","Funding",0.627766,"Developmental Biology"
"theme1","NC","Awards",35,"Developmental Biology"
"theme1","NC","Funding",14.653838,"Developmental Biology"
"theme1","NE","Awards",2,"Developmental Biology"
"theme1","NE","Funding",0.742665,"Developmental Biology"
"theme1","NH","Awards",1,"Developmental Biology"
"theme1","NH","Funding",0.45025,"Developmental Biology"
"theme1","NJ","Awards",20,"Developmental Biology"
"theme1","NJ","Funding",8.200055,"Developmental Biology"
"theme1","NY","Awards",82,"Developmental Biology"
"theme1","NY","Funding",34.274765,"Developmental Biology"
"theme1","OH","Awards",19,"Developmental Biology"
"theme1","OH","Funding",7.11241,"Developmental Biology"
"theme1","OK","Awards",2,"Developmental Biology"
"theme1","OK","Funding",0.877104,"Developmental Biology"
"theme1","OR","Awards",11,"Developmental Biology"
"theme1","OR","Funding",3.867502,"Developmental Biology"
"theme1","PA","Awards",50,"Developmental Biology"
"theme1","PA","Funding",18.837364,"Developmental Biology"
"theme1","RI","Awards",2,"Developmental Biology"
"theme1","RI","Funding",0.045,"Developmental Biology"
"theme1","SC","Awards",1,"Developmental Biology"
"theme1","SC","Funding",0.470895,"Developmental Biology"
"theme1","TN","Awards",3,"Developmental Biology"
"theme1","TN","Funding",1.052026,"Developmental Biology"
"theme1","TX","Awards",61,"Developmental Biology"
"theme1","TX","Funding",29.016116,"Developmental Biology"
"theme1","UT","Awards",10,"Developmental Biology"
"theme1","UT","Funding",3.644676,"Developmental Biology"
"theme1","VA","Awards",18,"Developmental Biology"
"theme1","VA","Funding",6.539824,"Developmental Biology"
"theme1","VT","Awards",1,"Developmental Biology"
"theme1","VT","Funding",0.440918,"Developmental Biology"
"theme1","WA","Awards",17,"Developmental Biology"
"theme1","WA","Funding",7.356823,"Developmental Biology"
"theme1","WI","Awards",17,"Developmental Biology"
"theme1","WI","Funding",6.789314,"Developmental Biology"
"theme1","WY","Awards",2,"Developmental Biology"
"theme1","WY","Funding",0.7225,"Developmental Biology"
"theme1","ZZ","Awards",6,"Developmental Biology"
"theme1","ZZ","Funding",0.947711,"Developmental Biology"
"theme2","AL","Awards",3,"Reproductive Health"
"theme2","AL","Funding",0.629203,"Reproductive Health"
"theme2","AR","Awards",1,"Reproductive Health"
"theme2","AR","Funding",0.443348,"Reproductive Health"
"theme2","AZ","Awards",7,"Reproductive Health"
"theme2","AZ","Funding",3.193801,"Reproductive Health"
"theme2","CA","Awards",86,"Reproductive Health"
"theme2","CA","Funding",45.330229,"Reproductive Health"
"theme2","CO","Awards",27,"Reproductive Health"
"theme2","CO","Funding",12.093135,"Reproductive Health"
"theme2","CT","Awards",30,"Reproductive Health"
"theme2","CT","Funding",12.181276,"Reproductive Health"
"theme2","DC","Awards",3,"Reproductive Health"
"theme2","DC","Funding",0.586108,"Reproductive Health"
"theme2","DE","Awards",2,"Reproductive Health"
"theme2","DE","Funding",0.76612,"Reproductive Health"
"theme2","FL","Awards",8,"Reproductive Health"
"theme2","FL","Funding",13.615954,"Reproductive Health"
"theme2","GA","Awards",16,"Reproductive Health"
"theme2","GA","Funding",6.88427,"Reproductive Health"
"theme2","HI","Awards",2,"Reproductive Health"
"theme2","HI","Funding",0.492105,"Reproductive Health"
"theme2","IA","Awards",1,"Reproductive Health"
"theme2","IA","Funding",0.650521,"Reproductive Health"
"theme2","IL","Awards",31,"Reproductive Health"
"theme2","IL","Funding",16.398889,"Reproductive Health"
"theme2","IN","Awards",8,"Reproductive Health"
"theme2","IN","Funding",2.818178,"Reproductive Health"
"theme2","KS","Awards",12,"Reproductive Health"
"theme2","KS","Funding",4.282273,"Reproductive Health"
"theme2","KY","Awards",5,"Reproductive Health"
"theme2","KY","Funding",1.969063,"Reproductive Health"
"theme2","MA","Awards",68,"Reproductive Health"
"theme2","MA","Funding",53.577752,"Reproductive Health"
"theme2","MD","Awards",23,"Reproductive Health"
"theme2","MD","Funding",7.848443,"Reproductive Health"
"theme2","ME","Awards",2,"Reproductive Health"
"theme2","ME","Funding",1.138449,"Reproductive Health"
"theme2","MI","Awards",55,"Reproductive Health"
"theme2","MI","Funding",29.111383,"Reproductive Health"
"theme2","MN","Awards",26,"Reproductive Health"
"theme2","MN","Funding",10.522913,"Reproductive Health"
"theme2","MO","Awards",30,"Reproductive Health"
"theme2","MO","Funding",11.040732,"Reproductive Health"
"theme2","MS","Awards",2,"Reproductive Health"
"theme2","MS","Funding",0.363797,"Reproductive Health"
"theme2","NC","Awards",30,"Reproductive Health"
"theme2","NC","Funding",16.189279,"Reproductive Health"
"theme2","NE","Awards",1,"Reproductive Health"
"theme2","NE","Funding",0.239086,"Reproductive Health"
"theme2","NH","Awards",2,"Reproductive Health"
"theme2","NH","Funding",1.446007,"Reproductive Health"
"theme2","NJ","Awards",10,"Reproductive Health"
"theme2","NJ","Funding",5.804821,"Reproductive Health"
"theme2","NM","Awards",1,"Reproductive Health"
