"funding_mechanism","organization_org_state","measure","amount"
"Research Projects","AR","Awards",5
"Research Projects","AR","Funding",3.591031
"Research Projects","AZ","Awards",28
"Research Projects","AZ","Funding",14.686154
"Research Projects","CA","Awards",260
"Research Projects","CA","Funding",128.289813
"Research Projects","CO","Awards",70
"Research Projects","CO","Funding",38.107626
"Research Projects","CT","Awards",56
"Research Projects","CT","Funding",30.023796
"Research Projects","DC","Awards",25
"Research Projects","DC","Funding",21.38299
"Research Projects","DE","Awards",7
"Research Projects","DE","Funding",2.610599
"Research Projects","FL","Awards",36
"Research Projects","FL","Funding",37.598374
"Research Projects","GA","Awards",51
"Research Projects","GA","Funding",24.458826
"Research Projects","HI","Awards",4
"Research Projects","HI","Funding",1.408833
"Research Projects","IA","Awards",12
"Research Projects","IA","Funding",5.341267
"Research Projects","ID","Awards",3
"Research Projects","ID","Funding",1.227796
"Research Projects","IL","Awards",83
"Research Projects","IL","Funding",51.486799
"Research Projects","IN","Awards",32
"Research Projects","IN","Funding",13.669263
"Research Projects","KS","Awards",23
"Research Projects","KS","Funding",11.20504
"Research Projects","KY","Awards",12
"Research Projects","KY","Funding",5.070536
"Research Projects","LA","Awards",12
"Research Projects","LA","Funding",5.650505
"Research Projects","MA","Awards",219
"Research Projects","MA","Funding",142.167849
"Research Projects","MB","Awards",1
"Research Projects","MB","Funding",0.584243
"Research Projects","MD","Awards",77
"Research Projects","MD","Funding",41.254149
"Research Projects","ME","Awards",6
"Research Projects","ME","Funding",2.899754
"Research Projects","MI","Awards",110
"Research Projects","MI","Funding",56.670004
"Research Projects","MN","Awards",52
"Research Projects","MN","Funding",25.846312
"Research Projects","MO","Awards",63
"Research Projects","MO","Funding",34.923211
"Research Projects","MS","Awards",3
"Research Projects","MS","Funding",0.775766
"Research Projects","MT","Awards",1
"Research Projects","MT","Funding",0.727781
"Research Projects","NC","Awards",102
"Research Projects","NC","Funding",50.174203
"Research Projects","ND","Awards",1
"Research Projects","ND","Funding",0.434929
"Research Projects","NE","Awards",10
"Research Projects","NE","Funding",4.880934
"Research Projects","NH","Awards",5
"Research Projects","NH","Funding",2.244237
"Research Projects","NJ","Awards",44
"Research Projects","NJ","Funding",28.703004
"Research Projects","NM","Awards",1
"Research Projects","NM","Funding",0.543878
"Research Projects","NV","Awards",5
"Research Projects","NV","Funding",1.750418
"Research Projects","NY","Awards",172
"Research Projects","NY","Funding",88.436191
"Research Projects","OH","Awards",91
"Research Projects","OH","Funding",47.665472
"Research Projects","OK","Awards",10
"Research Projects","OK","Funding",4.290991
"Research Projects","ON","Awards",1
"Research Projects","ON","Funding",0.477421
"Research Projects","OR","Awards",46
"Research Projects","OR","Funding",25.644313
"Research Projects","PA","Awards",146
"Research Projects","PA","Funding",78.990832
"Research Projects","RI","Awards",21
"Research Projects","RI","Funding",9.939222
"Research Projects","SC","Awards",28
"Research Projects","SC","Funding",11.941433
"Research Projects","TN","Awards",22
"Research Projects","TN","Funding",11.130569
"Research Projects","TX","Awards",131
"Research Projects","TX","Funding",67.5116
"Research Projects","UT","Awards",28
"Research Projects","UT","Funding",13.853871
"Research Projects","VA","Awards",26
"Research Projects","VA","Funding",15.811775
"Research Projects","VT","Awards",4
"Research Projects","VT","Funding",1.780557
"Research Projects","WA","Awards",97
"Research Projects","WA","Funding",62.251601
"Research Projects","WI","Awards",48
"Research Projects","WI","Funding",25.504565
"Research Projects","WV","Awards",1
"Research Projects","WV","Funding",0.456
"Research Projects","WY","Awards",2
"Research Projects","WY","Funding",0.7225
"Research Projects","ZZ","Awards",16
"Research Projects","ZZ","Funding",4.469723
"SBIR/STTR","AR","Awards",2
"SBIR/STTR","AR","Funding",0.602592
"SBIR/STTR","AZ","Awards",3
"SBIR/STTR","AZ","Funding",2.112412
"SBIR/STTR","CA","Awards",13
"SBIR/STTR","CA","Funding",12.357466
"SBIR/STTR","CO","Awards",4
"SBIR/STTR","CO","Funding",2.276809
"SBIR/STTR","CT","Awards",2
"SBIR/STTR","CT","Funding",0.705903
"SBIR/STTR","DC","Awards",1
"SBIR/STTR","DC","Funding",0.349759
"SBIR/STTR","FL","Awards",1
"SBIR/STTR","FL","Funding",0.812852
"SBIR/STTR","IL","Awards",1
"SBIR/STTR","IL","Funding",0.490469
"SBIR/STTR","MA","Awards",8
"SBIR/STTR","MA","Funding",6.462006
"SBIR/STTR","MD","Awards",3
"SBIR/STTR","MD","Funding",2.610201
"SBIR/STTR","MI","Awards",3
"SBIR/STTR","MI","Funding",1.235943
"SBIR/STTR","MN","Awards",7
"SBIR/STTR","MN","Funding",5.360966
"SBIR/STTR","NC","Awards",3
"SBIR/STTR","NC","Funding",3.346453
"SBIR/STTR","NH","Awards",1
"SBIR/STTR","NH","Funding",0.995757
"SBIR/STTR","NJ","Awards",4
"SBIR/STTR","NJ","Funding",2.5806
"SBIR/STTR","NY","Awards",3
"SBIR/STTR","NY","Funding",2.095236
"SBIR/STTR","OH","Awards",1
"SBIR/STTR","OH","Funding",0.816664
"SBIR/STTR","OR","Awards",5
"SBIR/STTR","OR","Funding",2.668599
"SBIR/STTR","PA","Awards",3
"SBIR/STTR","PA","Funding",2.206129
"SBIR/STTR","SC","Awards",3
"SBIR/STTR","SC","Funding",1.820325
"SBIR/STTR","TN","Awards",1
"SBIR/STTR","TN","Funding",0.919517
"SBIR/STTR","TX","Awards",4
"SBIR/STTR","TX","Funding",2.431551
"SBIR/STTR","UT","Awards",2
"SBIR/STTR","UT","Funding",0.85466
"SBIR/STTR","VA","Awards",3
"SBIR/STTR","VA","Funding",2.546561
"SBIR/STTR","WA","Awards",1
"SBIR/STTR","WA","Funding",0.306869
"Training, Individual","AL","Awards",1
"Training, Individual","AL","Funding",0.050114
"Training, Individual","AZ","Awards",4
"Training, Individual","AZ","Funding",0.198023
"Training, Individual","CA","Awards",31
"Training, Individual","CA","Funding",1.795839
"Training, Individual","CO","Awards",4
"Training, Individual","CO","Funding",0.244011
"Training, Individual","CT","Awards",6
"Training, Individual","CT","Funding",0.242594
"Training, Individual","DE","Awards",1
"Training, Individual","DE","Funding",0.05135
"Training, Individual","FL","Awards",3
"Training, Individual","FL","Funding",0.148955
"Training, Individual","GA","Awards",7
"Training, Individual","GA","Funding",0.414648
"Training, Individual","IA","Awards",1
"Training, Individual","IA","Funding",0.047092
"Training, Individual","IL","Awards",17
"Training, Individual","IL","Funding",0.74744
"Training, Individual","KS","Awards",2
"Training, Individual","KS","Funding",0.118731
"Training, Individual","LA","Awards",2
"Training, Individual","LA","Funding",0.116648
"Training, Individual","MA","Awards",12
"Training, Individual","MA","Funding",0.755162
"Training, Individual","MD","Awards",13
"Training, Individual","MD","Funding",0.69022
"Training, Individual","ME","Awards",1
"Training, Individual","ME","Funding",0.022943
"Training, Individual","MI","Awards",6
"Training, Individual","MI","Funding",0.257244
"Training, Individual","MN","Awards",5
"Training, Individual","MN","Funding",0.200757
"Training, Individual","MO","Awards",6
"Training, Individual","MO","Funding",0.248545
"Training, Individual","MS","Awards",1
"Training, Individual","MS","Funding",0.07678
"Training, Individual","NC","Awards",14
"Training, Individual","NC","Funding",0.756222
"Training, Individual","NJ","Awards",11
"Training, Individual","NJ","Funding",0.560168
"Training, Individual","NY","Awards",30
"Training, Individual","NY","Funding",1.711688
"Training, Individual","OH","Awards",10
"Training, Individual","OH","Funding",0.50636
"Training, Individual","OR","Awards",5
"Training, Individual","OR","Funding",0.282036
"Training, Individual","PA","Awards",21
"Training, Individual","PA","Funding",1.088094
"Training, Individual","RI","Awards",1
"Training, Individual","RI","Funding",0.049538
"Training, Individual","SC","Awards",3
"Training, Individual","SC","Funding",0.145062
"Training, Individual","TN","Awards",1
"Training, Individual","TN","Funding",0.050114
"Training, Individual","TX","Awards",19
"Training, Individual","TX","Funding",0.958423
"Training, Individual","UT","Awards",4
"Training, Individual","UT","Funding",0.191641
"Training, Individual","VA","Awards",5
"Training, Individual","VA","Funding",0.310467
"Training, Individual","WA","Awards",7
"Training, Individual","WA","Funding",0.364548
"Training, Individual","WI","Awards",5
"Training, Individual","WI","Funding",0.186048
"Training, Institutional","AL","Awards",1
"Training, Institutional","AL","Funding",0.29629
"Training, Institutional","CA","Awards",14
"Training, Institutional","CA","Funding",3.193508
"Training, Institutional","CO","Awards",1
"Training, Institutional","CO","Funding",0.39104
"Training, Institutional","CT","Awards",2
"Training, Institutional","CT","Funding",0.842174
"Training, Institutional","DC","Awards",1
"Training, Institutional","DC","Funding",0.495475
"Training, Institutional","DE","Awards",1
"Training, Institutional","DE","Funding",0.118121
"Training, Institutional","FL","Awards",1
"Training, Institutional","FL","Funding",0.201957
"Training, Institutional","IL","Awards",7
"Training, Institutional","IL","Funding",2.282826
"Training, Institutional","IN","Awards",2
"Training, Institutional","IN","Funding",0.474931
"Training, Institutional","KS","Awards",1
"Training, Institutional","KS","Funding",0.177837
"Training, Institutional","MA","Awards",5
"Training, Institutional","MA","Funding",1.672106
"Training, Institutional","MD","Awards",2
"Training, Institutional","MD","Funding",0.594982
"Training, Institutional","MI","Awards",6
"Training, Institutional","MI","Funding",1.845247
"Training, Institutional","MN","Awards",1
"Training, Institutional","MN","Funding",0.266817
"Training, Institutional","MO","Awards",3
"Training, Institutional","MO","Funding",0.799698
"Training, Institutional","NC","Awards",8
"Training, Institutional","NC","Funding",2.153589
"Training, Institutional","NY","Awards",4
"Training, Institutional","NY","Funding",0.938325
"Training, Institutional","OH","Awards",3
"Training, Institutional","OH","Funding",0.406023
"Training, Institutional","OR","Awards",1
"Training, Institutional","OR","Funding",0.253146
"Training, Institutional","PA","Awards",10
"Training, Institutional","PA","Funding",3.045671
"Training, Institutional","RI","Awards",1
"Training, Institutional","RI","Funding",0.295126
"Training, Institutional","TN","Awards",1
"Training, Institutional","TN","Funding",0.212293
"Training, Institutional","TX","Awards",2
"Training, Institutional","TX","Funding",0.742682
"Training, Institutional","UT","Awards",2
"Training, Institutional","UT","Funding",0.469675
"Training, Institutional","WA","Awards",3
"Training, Institutional","WA","Funding",0.521741
"Training, Institutional","WI","Awards",4
"Training, Institutional","WI","Funding",1.058644
